Date,Concentration
04/04/2015,54.21
05/04/2015,100.5
09/04/2015,83.02
10/04/2015,114.3
11/04/2015,251.78
12/04/2015,64.32
13/04/2015,110.57
14/04/2015,85.98
15/04/2015,118.89
16/04/2015,105.69
17/04/2015,100.97
18/04/2015,173.41
19/04/2015,230.57
20/04/2015,124.66
21/04/2015,140.54
22/04/2015,128.85
23/04/2015,208.03
24/04/2015,183.99
25/04/2015,118.46
26/04/2015,62.8
27/04/2015,73.71
28/04/2015,137.77
29/04/2015,57.93
30/04/2015,63.49
01/05/2015,195.14
02/05/2015,143.24
03/05/2015,233.43
04/05/2015,188.21
05/05/2015,276.72
06/05/2015,322.62
07/05/2015,177.06
08/05/2015,163.15
09/05/2015,179.89
10/05/2015,157
11/05/2015,127.52
12/05/2015,148.73
13/05/2015,131.36
14/05/2015,218.18
15/05/2015,166.18
16/05/2015,115.19
17/05/2015,128.35
18/05/2015,94.12
19/05/2015,137.26
20/05/2015,96.05
21/05/2015,130.56
22/05/2015,86.55
23/05/2015,96.19
24/05/2015,121.57
25/05/2015,248.63
26/05/2015,190.53
27/05/2015,140.69
28/05/2015,237.05
29/05/2015,213.28
30/05/2015,185.84
01/06/2015,86.89
02/06/2015,109.21
03/06/2015,97.91
04/06/2015,138.74
07/06/2015,99.41
08/06/2015,187.3
09/06/2015,163.1
10/06/2015,104.57
12/06/2015,225.01
13/06/2015,94.27
14/06/2015,83.87
15/06/2015,121.43
16/06/2015,187.7
17/06/2015,164.53
18/06/2015,183.02
19/06/2015,122.81
20/06/2015,145.06
21/06/2015,74.11
22/06/2015,137.59
23/06/2015,169
24/06/2015,154.78
25/06/2015,50.36
26/06/2015,100.82
27/06/2015,78.46
28/06/2015,97.2
29/06/2015,49.12
30/06/2015,66.97
01/07/2015,67.6
02/07/2015,99.68
03/07/2015,74.52
04/07/2015,75.57
05/07/2015,163.78
06/07/2015,53.53
07/07/2015,58.81
08/07/2015,68.05
09/07/2015,67.7
10/07/2015,59.4
11/07/2015,23.17
14/07/2015,75.06
15/07/2015,82
16/07/2015,81.87
17/07/2015,87.44
18/07/2015,86.26
19/07/2015,86.59
20/07/2015,57.13
21/07/2015,38.71
22/07/2015,44.72
23/07/2015,40.88
24/07/2015,56.11
25/07/2015,51.51
