Date,Concentration
01/11/2015,56.75
02/11/2015,44.87
03/11/2015,36.83
04/11/2015,51.7
05/11/2015,64.55
06/11/2015,53.8
07/11/2015,40.21
08/11/2015,49.27
09/11/2015,61.7
10/11/2015,83.03
11/11/2015,114.97
12/11/2015,76.98
13/11/2015,85.78
14/11/2015,71.03
15/11/2015,51.81
16/11/2015,55.61
17/11/2015,46.22
18/11/2015,52.41
19/11/2015,64.1
20/11/2015,43.16
21/11/2015,43.14
22/11/2015,32.44
23/11/2015,33.68
24/11/2015,28.52
25/11/2015,42.11
26/11/2015,77.97
27/11/2015,66.18
28/11/2015,44.03
29/11/2015,53.48
30/11/2015,66.11
01/12/2015,58.93
02/12/2015,80.19
03/12/2015,60.93
04/12/2015,61.22
05/12/2015,56.93
06/12/2015,60.34
07/12/2015,53.67
08/12/2015,53.39
09/12/2015,87.49
10/12/2015,58.85
11/12/2015,53.3
12/12/2015,55.11
13/12/2015,53.29
14/12/2015,64.94
15/12/2015,70.41
16/12/2015,75.69
17/12/2015,53.19
18/12/2015,54.81
19/12/2015,79.32
20/12/2015,92.36
21/12/2015,57.61
22/12/2015,48.51
23/12/2015,68.61
24/12/2015,57.28
25/12/2015,46.84
26/12/2015,68.97
27/12/2015,77.35
28/12/2015,71.04
29/12/2015,75.51
30/12/2015,78.55
31/12/2015,78.64
01/01/2016,72.38
02/01/2016,82.94
03/01/2016,84.54
04/01/2016,95.38
05/01/2016,94.13
06/01/2016,135.07
07/01/2016,124.58
08/01/2016,101.35
09/01/2016,110.99
10/01/2016,103.83
11/01/2016,102.71
12/01/2016,74.57
13/01/2016,68.39
14/01/2016,76.67
15/01/2016,54.84
16/01/2016,49.53
17/01/2016,54.45
18/01/2016,63.13
19/01/2016,61.27
20/01/2016,62.76
21/01/2016,60.53
22/01/2016,54.4
23/01/2016,69.07
24/01/2016,80.28
25/01/2016,73.84
26/01/2016,62.55
27/01/2016,60.96
28/01/2016,119.59
29/01/2016,112.92
30/01/2016,83.96
31/01/2016,64.16
01/02/2016,65.51
02/02/2016,57.65
03/02/2016,59.33
04/02/2016,61.87
05/02/2016,47.97
06/02/2016,44.34
07/02/2016,32.09
08/02/2016,39.98
09/02/2016,63.99
10/02/2016,40.36
11/02/2016,23.92
12/02/2016,25.3
13/02/2016,32.77
14/02/2016,33.81
15/02/2016,46.5
16/02/2016,50.03
17/02/2016,49.76
18/02/2016,46.75
19/02/2016,35.12
20/02/2016,37.8
21/02/2016,45.41
22/02/2016,39.13
23/02/2016,51.76
24/02/2016,39.78
25/02/2016,38.21
26/02/2016,45.73
27/02/2016,82.86
28/02/2016,53.58
29/02/2016,69.11
01/03/2016,82.4
02/03/2016,63.88
03/03/2016,56.93
04/03/2016,33.97
05/03/2016,35.93
06/03/2016,24.89
