Date,PM2.5
03/11/2016,128.84
04/11/2016,263.22
05/11/2016,558.22
06/11/2016,584.04
07/11/2016,283.01
08/11/2016,213.65
09/11/2016,170.1
10/11/2016,176.39
11/11/2016,220.28
12/11/2016,181.86
13/11/2016,147.68
14/11/2016,130.24
15/11/2016,159.33
16/11/2016,168.74
17/11/2016,124.75
18/11/2016,153.59
19/11/2016,134.23
20/11/2016,177.61
21/11/2016,167.5
22/11/2016,149.29
23/11/2016,183.29
24/11/2016,233.16
25/11/2016,100.41
26/11/2016,95.25
27/11/2016,106.75
28/11/2016,105.95
29/11/2016,253.54
30/11/2016,223.45
01/12/2016,-266.89
02/12/2016,84.53
03/12/2016,-83.48
04/12/2016,212.57
05/12/2016,211.77
06/12/2016,358.08
07/12/2016,363.46
08/12/2016,269.26
09/12/2016,331.64
10/12/2016,207.22
11/12/2016,218.16
12/12/2016,219.4
13/12/2016,146.71
14/12/2016,162.48
15/12/2016,166.22
16/12/2016,174.17
17/12/2016,239.18
18/12/2016,226.61
19/12/2016,250.67
20/12/2016,143.7
21/12/2016,122.23
22/12/2016,174.89
23/12/2016,412.95
24/12/2016,393.05
25/12/2016,240.78
26/12/2016,204.98
27/12/2016,266.67
28/12/2016,315.78
29/12/2016,464.66
30/12/2016,399.66
31/12/2016,441.47
01/01/2017,524.7
02/01/2017,374.07
03/01/2017,167.58
04/01/2017,179.03
05/01/2017,185.73
06/01/2017,172.15
07/01/2017,117.63
08/01/2017,138.13
09/01/2017,127.97
10/01/2017,95.14
11/01/2017,140.16
12/01/2017,172.65
13/01/2017,197.51
14/01/2017,233.23
15/01/2017,169.32
16/01/2017,145.61
17/01/2017,106.51
18/01/2017,115.32
19/01/2017,111.74
20/01/2017,100.59
21/01/2017,215.46
22/01/2017,353.64
23/01/2017,183.02
24/01/2017,164
25/01/2017,214.68
26/01/2017,81.5
27/01/2017,-1.02
28/01/2017,70.02
29/01/2017,105.72
30/01/2017,149.55
31/01/2017,161.24
01/02/2017,117.79
02/02/2017,177.34
03/02/2017,203.24
04/02/2017,104.41
05/02/2017,-420.1
06/02/2017,-287.91
07/02/2017,76.81
08/02/2017,136.66
09/02/2017,130.8
10/02/2017,115
11/02/2017,135.24
12/02/2017,160.54
13/02/2017,145.76
14/02/2017,226.9
15/02/2017,178.85
16/02/2017,283.77
17/02/2017,304.9
20/02/2017,66.4
21/02/2017,131.63
22/02/2017,183.5
23/02/2017,67.31
24/02/2017,63.41
25/02/2017,66.04
26/02/2017,102.24
27/02/2017,87.08
28/02/2017,129.93
01/03/2017,132.64
02/03/2017,128.45
03/03/2017,58.81
04/03/2017,78.25
05/03/2017,94.39
06/03/2017,90.28
07/03/2017,107.2
08/03/2017,67.59
09/03/2017,61.48
10/03/2017,43.49
11/03/2017,43.96
12/03/2017,65.06
13/03/2017,67.4
14/03/2017,67.98
