Date,Concentration
04/04/2015,1.48
05/04/2015,0.91
09/04/2015,1.5
10/04/2015,1.26
11/04/2015,0.97
12/04/2015,1.77
13/04/2015,2.01
14/04/2015,2.22
15/04/2015,1.01
16/04/2015,1.52
17/04/2015,1.26
18/04/2015,0.95
19/04/2015,1.02
20/04/2015,2.58
21/04/2015,1.38
22/04/2015,1.38
23/04/2015,0.95
24/04/2015,1.2
25/04/2015,3.97
26/04/2015,3.98
27/04/2015,4.5
28/04/2015,3.41
29/04/2015,2.78
30/04/2015,4.08
01/05/2015,2.81
02/05/2015,1.33
03/05/2015,1.2
04/05/2015,1.04
05/05/2015,0.98
06/05/2015,1.33
07/05/2015,1.86
08/05/2015,1.72
09/05/2015,1.57
10/05/2015,1.31
11/05/2015,2.1
12/05/2015,2.72
13/05/2015,2.27
14/05/2015,0.93
15/05/2015,1.41
16/05/2015,1.53
17/05/2015,2.09
18/05/2015,1.86
19/05/2015,2.54
20/05/2015,2.52
21/05/2015,2.43
22/05/2015,2.59
23/05/2015,2.51
24/05/2015,1.74
25/05/2015,2.08
26/05/2015,2.09
27/05/2015,2.19
28/05/2015,1.99
29/05/2015,1.87
30/05/2015,1.81
01/06/2015,2.98
02/06/2015,2.39
03/06/2015,2.44
04/06/2015,1.72
07/06/2015,2.29
08/06/2015,1.44
09/06/2015,3.34
10/06/2015,4.45
12/06/2015,1.84
13/06/2015,2.75
14/06/2015,1.81
15/06/2015,1.27
16/06/2015,1.68
17/06/2015,1.33
18/06/2015,1.48
19/06/2015,3.32
20/06/2015,4.75
21/06/2015,2.91
22/06/2015,2.68
23/06/2015,1.99
24/06/2015,2.02
25/06/2015,1.77
26/06/2015,1.96
27/06/2015,2.2
28/06/2015,1.9
29/06/2015,3.95
30/06/2015,2.57
01/07/2015,2.09
02/07/2015,1.46
03/07/2015,2.4
04/07/2015,2.66
05/07/2015,2.24
06/07/2015,2.99
07/07/2015,1.89
08/07/2015,2.2
09/07/2015,1.1
10/07/2015,1.86
11/07/2015,2.68
14/07/2015,2.01
15/07/2015,2.58
16/07/2015,2.35
17/07/2015,2.63
18/07/2015,1.62
19/07/2015,1.36
20/07/2015,1.9
21/07/2015,2.89
22/07/2015,3.08
23/07/2015,3.71
24/07/2015,2.94
25/07/2015,3.28
26/07/2015,5.76
27/07/2015,3.34
28/07/2015,3.18
29/07/2015,3.7
30/07/2015,2.03
31/07/2015,1.44
01/08/2015,1.35
02/08/2015,1.56
03/08/2015,1.28
04/08/2015,1.63
05/08/2015,1.71
06/08/2015,1.23
07/08/2015,1.61
08/08/2015,1.94
09/08/2015,1.53
10/08/2015,0.84
11/08/2015,2.06
12/08/2015,2.06
13/08/2015,1.92
14/08/2015,1.76
15/08/2015,1.28
16/08/2015,0.96
17/08/2015,1.1
18/08/2015,1.75
19/08/2015,1.94
20/08/2015,1.95
21/08/2015,1.22
22/08/2015,1.54
23/08/2015,1.63
24/08/2015,1.6
25/08/2015,2.26
26/08/2015,1.88
27/08/2015,1.5
28/08/2015,1.58
29/08/2015,1.38
30/08/2015,1.62
31/08/2015,2.49
01/09/2015,2.24
02/09/2015,2.13
03/09/2015,1.84
04/09/2015,1.54
05/09/2015,1.28
06/09/2015,1.89
07/09/2015,1.63
08/09/2015,2.06
09/09/2015,2.02
10/09/2015,1.57
11/09/2015,1.34
12/09/2015,1.37
13/09/2015,1.23
14/09/2015,1.03
15/09/2015,1.76
16/09/2015,1.96
